ORDER_ID,CUSTOMER_ID,RESTAURANT_ID,COUPON_ID,ORDER_TIMESTAMP,DELIVERY_FEE,SUB_TOTAL_AMOUNT,DISCOUNT_AMOUNT,COMMISSION_REVENUE,PAYMENT_PROCESSING_FEE,TOTAL_AMOUNT,ORDER_RATING
O0000028,C07600,R0633,CP072,2025-05-26,46.62,1175.88,587.94,235.18,15.86,634.56,3.21
O0000029,C05936,R0721,,2024-12-01,111.36,7229.32,0.00,1966.38,183.52,7340.68,1.34
O0000030,C01398,R0784,,2025-10-10,130.96,5069.88,0.00,1551.38,130.02,5200.84,4.36
O0000031,C04173,R0277,,2025-06-24,66.23,1551.04,0.00,423.43,40.43,1617.27,1.30
O0000032,C09043,R0394,,2025-09-24,31.79,5184.51,0.00,1664.23,130.41,5216.30,4.07
O0000033,C02507,R0519,,2025-01-23,125.46,903.75,0.00,192.50,25.73,1029.21,1.39
O0000034,C05903,R0805,,2025-01-04,79.71,737.34,0.00,234.47,20.43,817.05,2.16
O0000035,C01630,R0828,,2025-07-05,30.91,4603.50,0.00,1077.22,115.86,4634.41,1.48
O0000036,C05891,R0354,CP009,2025-09-20,41.25,3987.61,797.52,913.16,80.78,3231.34,3.86
O0000037,C06137,R0846,,2025-02-16,140.17,4487.82,0.00,1449.57,115.70,4627.99,4.46
O0000038,C03246,R0363,,2025-08-04,123.11,5733.07,0.00,1891.91,146.40,5856.18,2.17
O0000039,C08628,R0092,,2024-12-26,98.30,4904.16,0.00,1446.73,125.06,5002.46,3.21
O0000040,C09624,R0259,,2025-09-23,55.92,2077.57,0.00,519.39,53.34,2133.49,2.84
O0000041,C04817,R0964,,2025-04-19,144.11,2509.28,0.00,695.07,66.33,2653.39,1.39
O0000042,C07505,R0311,,2025-06-06,111.86,4911.84,0.00,1689.67,125.59,5023.70,1.93
O0000043,C01304,R0048,,2025-04-21,134.62,4311.38,0.00,1444.31,111.15,4446.00,2.78
O0000044,C09841,R0983,,2025-05-10,130.17,3486.80,0.00,1154.13,90.42,3616.97,3.08
O0000045,C03175,R0653,,2025-07-28,139.37,3003.97,0.00,672.89,78.58,3143.34,
O0000046,C07456,R0311,,2025-09-03,137.57,3928.11,0.00,1351.27,101.64,4065.68,4.75
O0000047,C06247,R0798,,2025-02-06,126.02,817.90,0.00,177.48,23.60,943.92,1.41
O0000048,C00063,R0661,,2025-07-25,122.33,3913.09,0.00,1279.58,100.89,4035.42,4.69
O0000049,C00359,R0039,,2024-12-17,92.77,2337.50,0.00,696.57,60.76,2430.27,1.04
O0000050,C04791,R0777,,2025-06-05,147.19,2841.25,0.00,798.39,74.71,2988.44,2.26
O0000051,C01148,R0120,,2025-10-16,64.99,2796.03,0.00,908.71,71.53,2861.02,1.41
O0000052,C08416,R0662,CP084,2025-04-19,126.75,1055.68,52.78,317.76,28.24,1129.65,1.29
O0000053,C08563,R0819,,2025-07-12,121.94,3762.68,0.00,1151.38,97.12,3884.62,3.88
O0000054,C01423,R0892,,2025-03-16,52.04,3793.09,0.00,864.82,96.13,3845.13,1.80
O0000055,C06804,R0689,,2025-01-09,99.75,1080.03,0.00,307.81,29.49,1179.78,3.27
O0000056,C05311,R0373,CP096,2024-11-10,97.94,4217.25,2108.62,1370.61,55.16,2206.57,
O0000057,C07535,R0765,,2025-10-03,93.65,3622.72,0.00,949.15,92.91,3716.37,4.68
O0000058,C00800,R0414,,2025-03-23,86.17,5103.15,0.00,1699.35,129.73,5189.32,1.76
O0000059,C05144,R0697,CP021,2025-09-29,132.83,6946.55,1389.31,1861.68,142.25,5690.07,
O0000060,C00717,R0369,CP006,2025-05-01,133.65,5068.13,1013.63,1718.10,104.70,4188.15,2.48
O0000061,C01339,R0109,,2025-08-27,45.87,3495.15,0.00,772.43,88.53,3541.02,4.69
O0000062,C07793,R0470,,2025-07-19,114.16,2911.95,0.00,896.88,75.65,3026.11,3.28
O0000063,C04285,R0265,,2025-03-15,102.96,3659.60,0.00,867.33,94.06,3762.56,2.77
O0000064,C05826,R0486,,2025-08-10,98.92,893.66,0.00,210.01,24.81,992.58,3.16
O0000065,C00748,R0010,,2025-04-14,79.05,3868.58,0.00,1040.65,98.69,3947.63,
O0000066,C08635,R0259,,2025-01-23,66.78,2208.84,0.00,552.21,56.89,2275.62,
O0000067,C06665,R0693,,2025-06-28,105.43,6165.78,0.00,1892.89,156.78,6271.21,3.19
O0000068,C06234,R0704,,2025-06-06,58.45,1259.16,0.00,436.93,32.94,1317.61,2.04
O0000069,C08853,R0167,,2025-10-07,35.58,1858.43,0.00,585.41,47.35,1894.01,4.90
O0000070,C01812,R0766,,2025-10-24,141.42,1332.63,0.00,357.14,36.85,1474.05,3.94
O0000071,C07913,R0001,,2025-01-14,72.60,2648.54,0.00,715.11,68.03,2721.14,4.46
O0000072,C02065,R0854,,2025-03-29,139.50,4239.74,0.00,1195.61,109.48,4379.24,2.77
O0000073,C01703,R0599,,2025-03-26,70.04,2459.20,0.00,636.93,63.23,2529.24,2.12
O0000074,C03133,R0315,,2025-01-09,38.15,287.59,0.00,67.87,8.14,325.74,1.79
O0000075,C09994,R0759,,2025-10-29,41.28,3554.51,0.00,934.84,89.89,3595.79,2.14
O0000076,C03313,R0708,,2025-08-18,51.36,1935.07,0.00,419.91,49.66,1986.43,3.07
O0000077,C03296,R0042,,2024-11-05,114.39,2519.64,0.00,849.12,65.85,2634.03,1.57
O0000078,C06689,R0928,,2025-01-16,72.67,2144.19,0.00,608.95,55.42,2216.86,3.52
O0000079,C05428,R0667,,2025-04-21,38.77,2697.46,0.00,601.53,68.41,2736.23,1.66
O0000080,C02002,R0207,,2025-03-21,76.56,5186.71,0.00,1530.08,131.58,5263.27,4.37
O0000081,C06547,R0785,CP039,2025-05-24,129.79,688.89,68.89,226.64,18.74,749.79,1.39
O0000082,C02677,R0432,CP051,2025-01-15,138.15,690.47,34.52,203.69,19.85,794.10,2.82
O0000083,C05551,R0097,CP051,2024-11-03,95.36,2662.86,133.14,612.46,65.63,2625.08,2.33
O0000084,C03972,R0575,,2025-06-16,70.67,3363.29,0.00,934.99,85.85,3433.96,3.90
O0000085,C03256,R0053,,2025-03-01,126.75,4528.12,0.00,1390.13,116.37,4654.87,3.17
O0000086,C01562,R0713,,2025-03-08,149.75,1672.51,0.00,491.72,45.56,1822.26,
O0000087,C02658,R0249,,2024-12-07,49.59,2333.15,0.00,683.61,59.57,2382.74,3.22
O0000088,C02508,R0641,,2025-10-20,57.18,1114.57,0.00,306.51,29.29,1171.75,2.86
O0000089,C05339,R0518,,2025-03-24,149.25,3069.73,0.00,825.76,80.47,3218.98,2.34
O0000090,C08065,R0782,CP049,2025-10-22,33.22,570.07,171.02,161.90,10.81,432.27,3.14
O0000091,C02808,R0879,,2025-02-07,139.15,2839.31,0.00,783.65,74.46,2978.46,1.04
O0000092,C03731,R0509,,2025-05-15,111.31,3121.74,0.00,874.09,80.83,3233.05,2.75
O0000093,C01764,R0252,,2025-10-24,81.24,1938.99,0.00,467.30,50.51,2020.23,4.43
O0000094,C02285,R0649,,2024-11-06,66.84,4440.92,0.00,994.77,112.69,4507.76,
O0000095,C04856,R0289,,2025-06-24,93.42,2003.85,0.00,424.82,52.43,2097.27,1.99
O0000096,C06466,R0279,,2025-02-15,64.50,2192.39,0.00,659.91,56.42,2256.89,3.92
O0000097,C01413,R0502,CP067,2024-11-14,126.01,6609.57,1982.87,1738.32,118.82,4752.71,1.67
O0000098,C08146,R0878,,2025-07-10,54.39,500.90,0.00,135.24,13.88,555.29,3.95
O0000099,C08107,R0060,CP002,2025-02-15,30.36,2992.89,598.58,909.84,60.62,2424.67,2.63
O0000100,C09996,R0657,,2025-07-08,70.43,488.19,0.00,135.23,13.97,558.62,
O0000101,C01575,R0847,CP019,2025-05-05,147.67,2203.89,440.78,628.11,47.77,1910.78,2.98
O0000102,C09905,R0765,,2025-04-04,57.38,2003.50,0.00,524.92,51.52,2060.88,3.87
O0000103,C01530,R0591,,2024-11-18,71.77,4401.85,0.00,924.39,111.84,4473.62,3.72
O0000104,C06389,R0104,,2025-07-29,58.79,3380.69,0.00,753.89,85.99,3439.48,2.59
O0000105,C04215,R0379,,2025-08-01,146.36,2089.29,0.00,453.38,55.89,2235.65,3.90
O0000106,C00187,R0706,,2025-02-07,45.95,687.08,0.00,164.90,18.33,733.03,1.50
O0000107,C02052,R0895,CP070,2025-02-15,40.06,3704.31,740.86,944.60,75.09,3003.51,1.82
O0000108,C01968,R0880,,2025-07-01,80.29,1823.56,0.00,530.66,47.60,1903.85,
O0000109,C00560,R0654,,2024-11-23,142.62,3376.22,0.00,975.73,87.97,3518.84,1.11
O0000110,C02460,R0188,,2025-06-11,40.31,2307.27,0.00,694.49,58.69,2347.58,
O0000111,C03149,R0019,,2025-09-16,58.99,4743.06,0.00,1071.93,120.05,4802.05,2.05
O0000112,C04579,R0950,,2024-11-12,46.98,3209.95,0.00,1030.39,81.42,3256.93,3.11
O0000113,C04700,R0184,,2025-10-02,63.97,1188.46,0.00,326.83,31.31,1252.43,1.37
O0000114,C05799,R0166,,2025-08-06,30.51,651.87,0.00,176.66,17.06,682.38,3.87
O0000115,C06347,R0177,,2025-10-27,149.94,4444.25,0.00,1506.60,114.85,4594.19,1.81
O0000116,C05807,R0358,,2025-05-02,36.86,5827.24,0.00,1555.87,146.60,5864.10,2.70
O0000117,C08653,R0437,,2025-06-24,117.91,1581.47,0.00,531.37,42.48,1699.38,1.28
O0000118,C09625,R0029,CP090,2025-07-04,32.56,2143.77,643.13,600.26,38.33,1533.20,2.94
O0000119,C01796,R0061,,2025-04-26,49.31,3809.54,0.00,1234.29,96.47,3858.85,4.53
O0000120,C06795,R0646,,2025-05-10,68.91,3534.33,0.00,950.73,90.08,3603.24,3.98
O0000121,C09805,R0206,CP087,2025-01-07,52.71,296.05,0.00,69.28,8.72,348.76,3.60
O0000122,C00109,R0751,,2025-05-03,129.92,973.50,0.00,247.27,27.59,1103.42,
O0000123,C06407,R0572,CP075,2025-08-19,38.84,1260.57,252.11,289.93,26.18,1047.30,3.16
O0000124,C00334,R0108,CP028,2025-10-06,96.95,4995.85,2497.93,1179.02,64.87,2594.87,4.19
O0000125,C07274,R0659,,2025-07-10,72.00,1418.28,0.00,395.70,37.26,1490.28,3.77
O0000126,C09952,R0210,,2025-08-19,98.87,835.50,0.00,183.81,23.36,934.37,3.97
O0000127,C08442,R0688,,2025-05-31,65.79,4772.47,0.00,1140.62,120.96,4838.26,
O0000128,C07894,R0101,,2025-09-10,138.96,4829.41,0.00,1173.55,124.21,4968.37,3.37
O0000129,C06178,R0389,,2024-12-11,114.41,3496.33,0.00,1139.80,90.27,3610.74,2.28
O0000130,C03874,R0002,,2024-11-15,38.15,3870.87,0.00,1223.19,97.73,3909.02,3.66
O0000131,C05504,R0761,,2025-03-24,93.74,1143.78,0.00,369.44,30.94,1237.52,4.50
O0000132,C00763,R0267,CP074,2024-11-12,92.01,2230.11,669.03,729.25,41.33,1653.09,4.05
O0000133,C05849,R0758,,2025-06-27,108.97,569.50,0.00,139.53,16.96,678.47,2.60
O0000134,C05891,R0964,,2025-10-14,126.63,1098.94,0.00,304.41,30.64,1225.57,
O0000135,C08658,R0923,,2025-08-05,40.72,2750.65,0.00,913.22,69.78,2791.37,4.98
O0000136,C04115,R0683,,2024-12-30,110.47,1666.31,0.00,394.92,44.42,1776.78,1.67
O0000137,C06999,R0126,,2025-08-02,51.59,252.69,0.00,77.32,7.61,304.28,1.31
O0000138,C01583,R0293,CP006,2025-08-13,39.24,3186.17,637.23,882.57,64.70,2588.18,1.51
O0000139,C07923,R0437,,2025-01-08,32.56,883.60,0.00,296.89,22.90,916.16,2.92
O0000140,C09200,R0418,CP057,2025-10-05,50.85,1514.61,302.92,436.21,31.56,1262.54,2.76
O0000141,C05323,R0328,,2025-09-27,68.60,3509.24,0.00,915.91,89.45,3577.84,3.01
O0000142,C00413,R0940,,2024-12-22,65.69,3049.09,0.00,957.41,77.87,3114.78,1.93
O0000143,C09688,R0341,,2024-12-03,52.69,2590.56,0.00,779.76,66.08,2643.25,
O0000144,C06642,R0730,CP059,2025-04-12,60.80,5466.46,546.65,1197.15,124.52,4980.61,
O0000145,C00131,R0025,CP084,2025-09-20,98.56,2590.51,129.53,569.91,63.99,2559.54,3.46
O0000146,C08180,R0654,,2025-09-25,58.54,2202.54,0.00,636.53,56.53,2261.08,4.82
O0000147,C06920,R0451,,2024-12-17,142.82,378.49,0.00,92.73,13.03,521.31,3.82
O0000148,C08728,R0220,,2024-11-22,90.08,4038.14,0.00,1090.30,103.21,4128.22,3.83
O0000149,C02058,R0653,CP043,2025-04-22,128.30,3260.21,978.06,730.29,60.26,2410.45,1.86
O0000150,C08204,R0547,CP056,2025-07-06,108.66,714.04,0.00,192.79,20.57,822.70,1.95
O0000151,C09137,R0292,,2025-08-03,126.82,1340.66,0.00,406.22,36.69,1467.48,1.25
O0000152,C06734,R0304,,2024-11-25,100.13,2560.35,0.00,880.76,66.51,2660.48,
O0000153,C04829,R0467,CP031,2025-03-03,59.19,1502.40,300.48,524.34,31.53,1261.11,2.24
O0000154,C08787,R0154,,2024-12-08,76.72,2170.47,0.00,455.80,56.18,2247.19,4.60
O0000155,C00499,R0489,,2025-09-30,125.36,811.20,0.00,221.46,23.41,936.56,2.48
O0000156,C08443,R0604,,2025-05-31,132.20,1298.43,0.00,275.27,35.77,1430.63,
O0000157,C09697,R0363,,2025-02-16,111.42,2817.02,0.00,929.62,73.21,2928.44,1.87
O0000158,C07424,R0237,,2025-09-28,107.32,6221.16,0.00,1262.90,158.21,6328.48,
O0000159,C01704,R0421,,2025-01-15,87.44,2674.57,0.00,829.12,69.05,2762.01,
O0000160,C00646,R0835,CP016,2025-07-13,144.14,2245.77,224.58,471.61,54.13,2165.33,4.27
O0000161,C02576,R0055,,2025-06-27,79.34,5023.83,0.00,1743.27,127.58,5103.17,4.90
O0000162,C01372,R0303,,2025-08-14,135.62,2460.59,0.00,593.00,64.91,2596.21,
O0000163,C09994,R0337,,2024-11-07,97.83,508.55,0.00,128.15,15.16,606.38,
O0000164,C09347,R0178,CP069,2025-03-10,59.44,2226.12,1113.06,768.01,29.31,1172.50,3.56
O0000165,C08608,R0399,,2025-09-22,42.35,4642.67,0.00,1541.37,117.13,4685.02,
O0000166,C01871,R0406,CP001,2025-07-19,90.52,2910.79,145.54,803.38,71.39,2855.77,2.11
O0000167,C04943,R0603,,2025-09-26,34.17,876.00,0.00,262.80,22.75,910.17,3.04
O0000168,C02490,R0245,,2025-10-16,89.86,2752.84,0.00,858.89,71.07,2842.70,
O0000169,C06621,R0584,,2025-03-03,125.45,3726.92,0.00,801.29,96.31,3852.37,3.93
O0000170,C06135,R0872,,2025-10-15,129.46,2547.00,0.00,588.36,66.91,2676.46,2.96
O0000171,C01968,R0060,,2025-08-03,127.44,926.58,0.00,281.68,26.35,1054.02,
O0000172,C05832,R0841,,2025-01-05,47.59,3099.42,0.00,954.62,78.68,3147.01,4.16
O0000173,C00128,R0646,,2025-10-18,130.91,3759.98,0.00,1011.43,97.27,3890.89,
O0000174,C07786,R0014,,2025-06-16,46.96,313.31,0.00,87.73,9.01,360.27,2.75
O0000175,C09926,R0629,,2025-08-08,124.06,4585.77,0.00,1375.73,117.75,4709.83,3.29
O0000176,C04073,R0145,CP043,2025-03-23,127.99,1919.28,575.78,646.80,36.79,1471.49,1.22
O0000177,C07876,R0048,CP078,2025-05-20,137.93,1972.29,986.14,660.72,28.10,1124.08,1.66
O0000178,C05554,R0735,,2024-11-06,55.01,1399.74,0.00,473.11,36.37,1454.75,4.44
O0000179,C07239,R0249,,2025-07-17,64.95,585.26,0.00,171.48,16.26,650.21,3.64
O0000180,C00193,R0820,,2025-04-06,107.85,3922.53,0.00,886.49,100.76,4030.38,
O0000181,C02058,R0132,,2025-04-11,131.93,3375.04,0.00,982.14,87.67,3506.97,2.34
O0000182,C09804,R0078,CP026,2025-09-22,128.69,3415.80,683.16,809.54,71.53,2861.33,1.96
O0000183,C02747,R0139,,2025-07-18,73.59,3187.77,0.00,825.63,81.53,3261.36,1.77
O0000184,C07737,R0125,,2025-07-19,37.02,3109.03,0.00,904.73,78.65,3146.05,4.16
O0000185,C04056,R0527,,2024-11-24,139.63,2659.34,0.00,787.16,69.97,2798.97,1.35
O0000186,C03228,R0518,CP072,2024-11-26,33.05,1378.08,689.04,370.70,18.05,722.09,1.00
O0000187,C03269,R0772,CP085,2025-01-14,77.45,1500.64,150.06,345.15,35.70,1428.03,4.32
O0000188,C07675,R0513,CP024,2025-09-17,35.49,4358.50,1089.62,1512.40,82.61,3304.37,1.39
O0000189,C08917,R0862,,2025-08-23,128.43,2937.99,0.00,755.06,76.66,3066.42,
O0000190,C06815,R0921,,2025-05-14,146.45,1994.17,0.00,474.61,53.52,2140.62,1.01
O0000191,C04574,R0273,CP057,2024-12-28,100.85,599.12,119.82,170.75,14.50,580.15,2.58
O0000192,C05767,R0347,,2025-08-11,143.13,1506.36,0.00,335.92,41.24,1649.49,4.44
O0000193,C09323,R0910,,2025-02-12,76.67,297.71,0.00,70.26,9.36,374.38,3.45
O0000194,C01037,R0109,CP094,2024-12-03,103.18,2973.70,297.37,657.19,69.49,2779.51,2.12
O0000195,C08213,R0400,,2025-01-07,75.16,905.97,0.00,228.30,24.53,981.13,3.36
O0000196,C02829,R0615,,2025-04-22,91.14,5014.19,0.00,1363.86,127.63,5105.33,2.22
O0000197,C08162,R0011,,2024-11-18,49.53,4024.07,0.00,977.85,101.84,4073.60,2.92
O0000198,C08261,R0655,,2025-02-16,94.55,438.50,0.00,100.42,13.33,533.05,4.10
O0000199,C07010,R0224,,2025-06-25,108.56,3162.06,0.00,752.57,81.77,3270.62,3.76
O0000200,C02245,R0899,,2025-01-17,114.89,6804.63,0.00,1469.80,172.99,6919.52,1.44
O0000201,C03060,R0341,,2025-07-26,142.27,4551.73,0.00,1370.07,117.35,4694.00,3.28
O0000202,C04630,R0938,,2025-05-16,67.52,2233.32,0.00,524.83,57.52,2300.84,2.67
O0000203,C00173,R0088,,2025-04-08,135.04,1539.44,0.00,437.20,41.86,1674.48,5.00
O0000204,C04573,R0738,,2025-01-07,74.57,2215.50,0.00,724.47,57.25,2290.07,4.86
O0000205,C05045,R0740,,2025-07-05,49.70,3016.68,0.00,1007.57,76.66,3066.38,3.07
O0000206,C03590,R0733,,2025-08-18,63.76,4425.03,0.00,1420.43,112.22,4488.79,2.90
O0000207,C00575,R0725,,2025-09-24,31.03,288.41,0.00,78.16,7.99,319.44,3.14
O0000208,C08838,R0168,,2025-09-22,43.29,1741.15,0.00,349.97,44.61,1784.44,1.67
O0000209,C01987,R0420,,2024-11-02,112.85,385.88,0.00,87.21,12.47,498.73,4.31
O0000210,C00204,R0258,,2025-03-01,117.91,4044.76,0.00,938.38,104.07,4162.67,
O0000211,C09579,R0590,,2025-02-15,144.06,1872.33,0.00,619.74,50.41,2016.39,2.28
O0000212,C06818,R0318,,2025-06-06,64.89,1424.88,0.00,484.46,37.24,1489.77,3.99
O0000213,C07961,R0049,,2025-03-17,70.86,2296.40,0.00,512.10,59.18,2367.26,
O0000214,C06570,R0032,,2024-12-16,114.51,5006.94,0.00,1011.40,128.04,5121.45,4.86
O0000215,C06353,R0514,,2025-03-13,60.15,4010.81,0.00,1207.25,101.77,4070.96,
O0000216,C09788,R0526,,2025-05-01,82.11,1824.42,0.00,580.17,47.66,1906.53,4.27
O0000217,C01727,R0254,,2025-06-09,39.23,1213.84,0.00,257.33,31.33,1253.07,2.17
O0000218,C07685,R0124,,2025-09-21,58.60,5387.81,0.00,1546.30,136.16,5446.41,4.54
O0000219,C04927,R0149,,2025-07-29,124.74,5990.86,0.00,1306.01,152.89,6115.60,3.02
O0000220,C09051,R0163,CP087,2024-12-04,125.95,1474.38,368.60,358.27,30.79,1231.73,
O0000221,C02200,R0045,,2025-06-08,105.89,1821.67,0.00,517.35,48.19,1927.56,
O0000222,C08068,R0593,,2025-10-28,85.52,877.24,0.00,239.49,24.07,962.76,1.02
O0000223,C05367,R0627,,2025-04-29,68.85,630.76,0.00,172.20,17.49,699.61,1.68
O0000224,C07138,R0840,,2024-12-05,105.87,2215.06,0.00,695.53,58.02,2320.93,2.28
O0000225,C02623,R0731,,2024-12-16,108.89,1587.68,0.00,500.12,42.41,1696.57,1.98
O0000226,C05478,R0913,,2025-10-23,68.67,1461.05,0.00,306.82,38.24,1529.72,4.70
O0000227,C07926,R0318,,2024-12-06,63.51,5081.16,0.00,1727.59,128.62,5144.67,3.23
O0000228,C05654,R0283,,2025-01-10,120.71,2274.85,0.00,466.34,59.89,2395.56,
O0000229,C01391,R0265,,2025-08-11,53.91,2437.35,0.00,577.65,62.28,2491.26,3.08
O0000230,C05902,R0962,,2024-12-04,79.95,3331.04,0.00,782.79,85.27,3410.99,2.79
O0000231,C01851,R0601,,2025-01-12,145.53,1670.63,0.00,561.33,45.40,1816.16,4.50
O0000232,C00208,R0718,,2025-03-04,145.02,4618.18,0.00,1145.31,119.08,4763.20,4.32
O0000233,C08319,R0763,CP037,2025-06-18,92.81,2076.64,519.16,440.25,41.26,1650.29,
O0000234,C04223,R0740,,2025-07-02,132.81,2681.94,0.00,895.77,70.37,2814.75,1.12
O0000235,C09262,R0837,,2024-11-08,36.20,462.12,0.00,138.64,12.46,498.32,1.58
O0000236,C05392,R0229,,2025-08-25,111.01,1329.15,0.00,308.36,36.00,1440.16,4.12
O0000237,C08922,R0183,,2025-01-05,135.58,1574.70,0.00,425.17,42.76,1710.28,4.71
O0000238,C08538,R0544,,2025-09-03,130.85,3980.36,0.00,891.60,102.78,4111.21,2.74
O0000239,C00009,R0727,,2024-11-05,132.07,1615.68,0.00,323.14,43.69,1747.75,2.66
O0000240,C02424,R0229,,2025-01-24,140.15,4702.29,0.00,1090.93,121.06,4842.44,2.40
O0000241,C03085,R0148,,2025-07-06,121.13,411.72,0.00,108.69,13.32,532.85,4.37
O0000242,C00267,R0682,CP035,2025-03-26,52.43,2876.21,287.62,747.81,66.03,2641.02,
O0000243,C02960,R0119,,2025-04-28,97.23,3998.40,0.00,1287.48,102.39,4095.63,3.00
O0000244,C03858,R0719,,2024-12-02,66.82,4409.61,0.00,1084.76,111.91,4476.43,1.27
O0000245,C03595,R0982,,2025-10-07,131.40,5875.44,0.00,1374.85,150.17,6006.84,3.69
O0000246,C01699,R0514,,2025-08-09,137.15,5389.52,0.00,1622.25,138.17,5526.67,1.50
O0000247,C06016,R0942,CP060,2025-02-04,110.41,5098.95,1529.69,1657.16,91.99,3679.67,4.93
O0000248,C02327,R0551,,2025-02-28,47.11,2761.97,0.00,696.02,70.23,2809.08,3.52
O0000249,C01338,R0712,,2025-09-22,130.54,2312.85,0.00,673.04,61.08,2443.39,2.64
O0000250,C09111,R0176,,2025-07-23,74.78,3058.36,0.00,932.80,78.33,3133.14,4.24
O0000251,C09602,R0547,,2025-07-08,105.79,3674.13,0.00,992.02,94.50,3779.92,2.54
O0000252,C03045,R0759,,2025-10-17,41.72,3808.32,0.00,1001.59,96.25,3850.04,1.22
O0000253,C05942,R0054,CP001,2025-10-02,39.89,2736.89,136.84,634.96,66.00,2639.94,4.29
O0000254,C04784,R0896,CP048,2025-01-14,38.86,235.70,0.00,82.49,6.86,274.56,2.54
O0000255,C03738,R0973,,2025-08-18,35.33,1133.46,0.00,340.04,29.22,1168.79,1.08
O0000256,C07217,R0993,CP040,2025-08-21,95.11,4285.38,2142.69,1139.91,55.95,2237.80,1.53
O0000257,C08945,R0203,,2025-08-14,69.24,3648.25,0.00,886.52,92.94,3717.49,3.88
O0000258,C06852,R0726,,2024-12-22,113.45,2391.28,0.00,808.25,62.62,2504.73,4.99
O0000259,C09418,R0459,,2025-03-01,110.67,5239.60,0.00,1262.74,133.76,5350.27,2.77
O0000260,C09183,R0718,,2024-11-21,118.48,2328.99,0.00,577.59,61.19,2447.47,3.72
O0000261,C04178,R0035,,2025-03-28,87.53,793.68,0.00,221.44,22.03,881.21,2.54
O0000262,C04614,R0909,CP073,2025-08-02,144.75,3467.70,1040.31,1203.29,64.30,2572.14,1.51
O0000263,C03799,R0992,,2025-02-20,120.02,5165.63,0.00,1136.44,132.14,5285.65,1.84
O0000264,C08924,R0567,CP032,2025-01-09,33.67,4922.55,984.51,1132.19,99.29,3971.71,1.71
O0000265,C07943,R0221,,2025-02-17,128.28,446.83,0.00,153.26,14.38,575.11,3.81
O0000266,C02953,R0148,,2024-12-25,100.13,3299.73,0.00,871.13,85.00,3399.86,1.71
O0000267,C02454,R0475,,2025-06-08,76.89,1083.64,0.00,334.84,29.01,1160.53,1.53
