ORDER_ITEM_ID,ORDER_ID,MENU_ITEM_ID,QUANTITY,ITEM_PRICE_AT_ORDER
O0000096_1,O0000096,M092,3,513.79
O0000096_2,O0000096,M067,1,652.01
O0000096_3,O0000096,M079,3,441.17
O0000097_1,O0000097,M050,3,300.71
O0000097_2,O0000097,M001,2,294.40
O0000097_3,O0000097,M009,3,571.99
O0000097_4,O0000097,M096,3,694.92
O0000097_5,O0000097,M026,3,571.34
O0000098_1,O0000098,M033,1,238.27
O0000099_1,O0000099,M061,3,700.86
O0000099_2,O0000099,M018,3,610.31
O0000099_3,O0000099,M058,1,284.81
O0000099_4,O0000099,M079,3,447.84
O0000100_1,O0000100,M071,3,651.87
O0000100_2,O0000100,M088,2,573.19
O0000100_3,O0000100,M084,3,637.56
O0000100_4,O0000100,M012,3,806.30
O0000101_1,O0000101,M039,3,431.97
O0000102_1,O0000102,M054,3,533.60
O0000103_1,O0000103,M059,2,603.30
O0000104_1,O0000104,M031,3,379.37
O0000104_2,O0000104,M055,3,255.04
O0000104_3,O0000104,M086,1,755.97
O0000105_1,O0000105,M078,1,700.77
O0000105_2,O0000105,M080,3,258.85
O0000106_1,O0000106,M035,2,716.50
O0000106_2,O0000106,M032,3,662.00
O0000106_3,O0000106,M023,3,212.66
O0000107_1,O0000107,M056,2,562.25
O0000107_2,O0000107,M026,3,623.33
O0000107_3,O0000107,M056,1,537.45
O0000107_4,O0000107,M018,2,610.86
O0000108_1,O0000108,M066,1,271.08
O0000108_2,O0000108,M003,3,449.64
O0000108_3,O0000108,M004,2,162.40
O0000108_4,O0000108,M044,2,585.01
O0000108_5,O0000108,M014,1,345.36
O0000109_1,O0000109,M091,2,284.03
O0000109_2,O0000109,M001,1,324.57
O0000109_3,O0000109,M086,2,669.99
O0000109_4,O0000109,M004,1,174.14
O0000109_5,O0000109,M022,2,440.97
O0000110_1,O0000110,M069,1,451.15
O0000110_2,O0000110,M031,2,346.50
O0000111_1,O0000111,M069,3,458.00
O0000111_2,O0000111,M014,1,356.43
O0000112_1,O0000112,M033,3,237.75
O0000112_2,O0000112,M040,3,578.21
O0000112_3,O0000112,M070,3,532.96
O0000112_4,O0000112,M010,3,713.99
O0000113_1,O0000113,M077,1,390.13
O0000113_2,O0000113,M062,1,809.67
O0000113_3,O0000113,M008,2,598.00
O0000114_1,O0000114,M031,1,351.06
O0000114_2,O0000114,M062,3,739.72
O0000114_3,O0000114,M013,3,322.14
O0000114_4,O0000114,M005,1,623.56
O0000114_5,O0000114,M053,1,697.51
O0000115_1,O0000115,M067,2,592.02
O0000115_2,O0000115,M071,2,767.49
O0000115_3,O0000115,M044,2,625.04
O0000116_1,O0000116,M053,1,642.20
O0000116_2,O0000116,M034,3,623.54
O0000116_3,O0000116,M057,1,296.83
O0000116_4,O0000116,M017,3,218.45
O0000116_5,O0000116,M054,1,546.71
O0000117_1,O0000117,M007,2,378.86
O0000117_2,O0000117,M032,2,649.02
O0000117_3,O0000117,M095,3,333.02
O0000117_4,O0000117,M094,2,400.70
O0000118_1,O0000118,M008,3,513.84
O0000118_2,O0000118,M018,3,672.74
O0000119_1,O0000119,M078,2,746.03
O0000119_2,O0000119,M020,1,354.89
O0000119_3,O0000119,M019,2,375.59
O0000119_4,O0000119,M041,1,471.88
O0000119_5,O0000119,M077,2,407.18
O0000120_1,O0000120,M040,1,562.68
O0000120_2,O0000120,M011,1,725.28
O0000120_3,O0000120,M089,1,252.46
O0000120_4,O0000120,M035,2,695.07
O0000120_5,O0000120,M042,3,486.92
O0000121_1,O0000121,M035,1,728.39
O0000121_2,O0000121,M024,1,282.47
O0000121_3,O0000121,M035,1,787.02
O0000121_4,O0000121,M094,1,427.71
O0000122_1,O0000122,M002,1,179.53
O0000122_2,O0000122,M001,3,304.28
O0000122_3,O0000122,M013,2,301.55
O0000122_4,O0000122,M064,1,436.93
O0000123_1,O0000123,M021,1,369.91
O0000124_1,O0000124,M081,1,369.74
O0000124_2,O0000124,M093,1,423.64
O0000124_3,O0000124,M056,1,591.82
O0000125_1,O0000125,M018,1,709.94
O0000125_2,O0000125,M001,3,324.08
O0000125_3,O0000125,M072,3,689.66
O0000126_1,O0000126,M009,1,536.17
O0000126_2,O0000126,M100,3,603.53
O0000126_3,O0000126,M055,1,250.47
O0000127_1,O0000127,M068,2,518.98
O0000127_2,O0000127,M063,2,387.06
O0000128_1,O0000128,M093,2,411.72
O0000128_2,O0000128,M051,3,421.17
O0000128_3,O0000128,M027,2,447.95
O0000128_4,O0000128,M100,3,594.56
O0000129_1,O0000129,M024,2,277.48
O0000129_2,O0000129,M086,2,752.44
O0000129_3,O0000129,M096,3,635.77
O0000129_4,O0000129,M013,1,340.23
O0000129_5,O0000129,M071,3,719.99
O0000130_1,O0000130,M074,1,329.56
O0000130_2,O0000130,M053,2,675.86
O0000130_3,O0000130,M091,1,293.08
O0000130_4,O0000130,M011,1,711.97
O0000131_1,O0000131,M093,1,393.14
O0000132_1,O0000132,M030,3,644.01
O0000132_2,O0000132,M015,2,220.79
O0000132_3,O0000132,M050,1,260.48
O0000133_1,O0000133,M029,2,270.06
O0000133_2,O0000133,M086,2,700.48
O0000133_3,O0000133,M021,2,350.87
O0000133_4,O0000133,M056,3,566.57
O0000134_1,O0000134,M073,1,296.79
O0000134_2,O0000134,M007,2,372.00
O0000134_3,O0000134,M027,2,467.40
O0000134_4,O0000134,M039,1,430.76
O0000134_5,O0000134,M031,3,362.25
O0000135_1,O0000135,M038,2,321.38
O0000135_2,O0000135,M065,3,306.14
O0000136_1,O0000136,M071,3,759.87
O0000136_2,O0000136,M076,3,657.81
O0000136_3,O0000136,M064,2,455.83
O0000136_4,O0000136,M016,3,217.91
O0000136_5,O0000136,M080,2,215.57
O0000137_1,O0000137,M021,1,402.76
O0000137_2,O0000137,M078,2,723.79
O0000137_3,O0000137,M052,2,654.56
O0000137_4,O0000137,M015,2,196.36
O0000138_1,O0000138,M092,1,513.59
O0000138_2,O0000138,M090,2,530.31
O0000138_3,O0000138,M086,3,686.31
O0000138_4,O0000138,M084,3,628.22
O0000139_1,O0000139,M041,2,477.90
O0000139_2,O0000139,M082,1,380.42
O0000139_3,O0000139,M072,2,589.72
O0000139_4,O0000139,M022,2,464.66
O0000139_5,O0000139,M094,1,432.08
O0000140_1,O0000140,M078,3,709.68
O0000140_2,O0000140,M053,2,717.48
O0000140_3,O0000140,M095,3,348.43
O0000140_4,O0000140,M061,3,639.69
O0000140_5,O0000140,M093,3,459.83
O0000141_1,O0000141,M018,1,689.53
O0000141_2,O0000141,M043,3,292.15
O0000141_3,O0000141,M088,1,611.54
O0000141_4,O0000141,M068,3,554.32
O0000142_1,O0000142,M066,3,256.84
O0000142_2,O0000142,M063,1,359.14
O0000143_1,O0000143,M039,3,421.37
O0000143_2,O0000143,M039,2,441.86
O0000143_3,O0000143,M080,2,251.09
O0000143_4,O0000143,M065,1,323.33
O0000144_1,O0000144,M092,1,498.71
O0000144_2,O0000144,M014,1,353.94
O0000144_3,O0000144,M008,1,528.67
O0000144_4,O0000144,M006,3,604.43
O0000145_1,O0000145,M033,1,261.69
O0000146_1,O0000146,M079,3,449.35
O0000147_1,O0000147,M039,1,373.68
O0000147_2,O0000147,M084,3,707.06
O0000147_3,O0000147,M028,1,365.08
O0000147_4,O0000147,M015,2,193.97
O0000148_1,O0000148,M068,2,513.23
O0000148_2,O0000148,M053,2,727.37
O0000148_3,O0000148,M029,1,290.78
O0000149_1,O0000149,M010,2,742.71
O0000149_2,O0000149,M028,2,413.09
O0000149_3,O0000149,M073,1,275.09
O0000149_4,O0000149,M053,3,599.55
O0000149_5,O0000149,M060,1,587.17
O0000150_1,O0000150,M021,3,353.17
O0000150_2,O0000150,M083,3,761.67
O0000150_3,O0000150,M089,1,251.49
O0000150_4,O0000150,M041,3,409.56
O0000151_1,O0000151,M034,3,587.49
O0000151_2,O0000151,M045,1,667.53
O0000151_3,O0000151,M013,1,326.56
O0000151_4,O0000151,M044,2,658.91
O0000152_1,O0000152,M021,2,392.36
O0000152_2,O0000152,M075,2,237.46
O0000152_3,O0000152,M029,1,260.54
O0000152_4,O0000152,M087,2,178.44
O0000152_5,O0000152,M055,3,220.27
O0000153_1,O0000153,M086,3,772.16
O0000153_2,O0000153,M035,1,730.23
O0000154_1,O0000154,M012,2,698.57
O0000154_2,O0000154,M058,3,323.63
O0000154_3,O0000154,M078,2,687.99
O0000154_4,O0000154,M095,1,379.32
O0000154_5,O0000154,M052,1,629.12
O0000155_1,O0000155,M100,2,554.23
O0000155_2,O0000155,M097,3,605.13
O0000155_3,O0000155,M023,3,214.56
O0000155_4,O0000155,M043,1,255.91
O0000155_5,O0000155,M099,1,369.34
O0000156_1,O0000156,M063,3,375.13
O0000156_2,O0000156,M082,2,404.60
O0000157_1,O0000157,M001,3,282.45
O0000157_2,O0000157,M099,1,394.53
O0000157_3,O0000157,M097,2,575.21
O0000158_1,O0000158,M021,1,363.74
O0000159_1,O0000159,M063,3,403.97
O0000159_2,O0000159,M060,2,561.32
O0000159_3,O0000159,M090,1,549.90
O0000159_4,O0000159,M012,1,746.07
O0000160_1,O0000160,M076,3,679.49
O0000160_2,O0000160,M071,2,650.53
O0000161_1,O0000161,M096,3,711.76
O0000161_2,O0000161,M096,3,717.05
O0000161_3,O0000161,M100,3,548.10
O0000162_1,O0000162,M033,1,239.33
O0000163_1,O0000163,M045,3,636.09
O0000163_2,O0000163,M064,3,514.89
O0000163_3,O0000163,M019,1,339.01
O0000164_1,O0000164,M017,3,228.44
O0000164_2,O0000164,M048,2,573.18
O0000164_3,O0000164,M066,3,253.21
O0000164_4,O0000164,M076,3,760.44
O0000165_1,O0000165,M082,2,380.67
O0000165_2,O0000165,M026,1,594.36
O0000165_3,O0000165,M060,1,615.42
O0000165_4,O0000165,M020,2,349.92
O0000166_1,O0000166,M017,3,250.83
O0000166_2,O0000166,M026,1,590.74
O0000166_3,O0000166,M028,2,369.09
O0000167_1,O0000167,M064,2,505.73
O0000167_2,O0000167,M007,1,405.73
O0000167_3,O0000167,M073,1,307.41
O0000167_4,O0000167,M009,2,587.86
O0000168_1,O0000168,M031,2,336.68
O0000168_2,O0000168,M017,2,224.52
O0000169_1,O0000169,M091,3,310.14
O0000169_2,O0000169,M073,3,285.05
O0000169_3,O0000169,M069,2,405.55
O0000169_4,O0000169,M035,3,702.98
O0000169_5,O0000169,M009,1,532.57
O0000170_1,O0000170,M008,1,522.37
O0000170_2,O0000170,M004,1,164.64
O0000170_3,O0000170,M004,1,185.09
O0000170_4,O0000170,M088,2,597.99
O0000170_5,O0000170,M045,2,685.95
O0000171_1,O0000171,M054,2,561.45
O0000171_2,O0000171,M026,3,626.61
O0000171_3,O0000171,M099,3,381.30
O0000171_4,O0000171,M038,1,281.96
O0000172_1,O0000172,M087,2,189.88
O0000172_2,O0000172,M090,3,497.22
O0000172_3,O0000172,M028,2,414.12
O0000172_4,O0000172,M078,3,684.48
O0000172_5,O0000172,M027,3,478.07
O0000173_1,O0000173,M031,3,354.25
O0000173_2,O0000173,M060,3,651.17
O0000174_1,O0000174,M061,1,638.44
O0000174_2,O0000174,M060,3,611.65
O0000174_3,O0000174,M055,2,242.78
O0000174_4,O0000174,M050,2,259.87
O0000174_5,O0000174,M027,2,432.32
O0000175_1,O0000175,M050,1,257.64
O0000175_2,O0000175,M052,2,707.84
O0000176_1,O0000176,M041,2,470.45
O0000177_1,O0000177,M052,3,634.52
O0000177_2,O0000177,M069,1,471.61
O0000177_3,O0000177,M042,3,518.91
O0000177_4,O0000177,M066,1,260.31
O0000177_5,O0000177,M026,1,575.41
O0000178_1,O0000178,M033,3,282.39
O0000178_2,O0000178,M040,1,577.99
O0000178_3,O0000178,M094,2,389.57
O0000178_4,O0000178,M092,3,507.50
O0000178_5,O0000178,M073,1,316.03
O0000179_1,O0000179,M066,2,244.06
O0000179_2,O0000179,M019,2,378.83
O0000179_3,O0000179,M008,1,594.04
O0000179_4,O0000179,M076,2,676.50
O0000179_5,O0000179,M041,2,395.73
O0000180_1,O0000180,M050,3,255.66
O0000180_2,O0000180,M012,2,747.04
O0000181_1,O0000181,M079,3,442.36
O0000181_2,O0000181,M044,2,669.75
O0000181_3,O0000181,M059,2,544.47
O0000181_4,O0000181,M073,2,323.58
O0000182_1,O0000182,M061,2,654.31
O0000182_2,O0000182,M079,1,402.30
O0000182_3,O0000182,M098,1,694.23
O0000182_4,O0000182,M053,1,716.74
O0000183_1,O0000183,M022,3,504.09
O0000183_2,O0000183,M085,3,457.07
O0000183_3,O0000183,M041,3,429.52
O0000184_1,O0000184,M092,1,564.36
O0000185_1,O0000185,M017,1,228.53
O0000185_2,O0000185,M052,1,684.25
O0000185_3,O0000185,M026,1,568.10
O0000185_4,O0000185,M083,1,726.81
O0000185_5,O0000185,M090,1,572.28
O0000186_1,O0000186,M074,1,322.80
O0000187_1,O0000187,M059,3,594.04
O0000187_2,O0000187,M061,3,755.21
O0000188_1,O0000188,M090,3,576.61
O0000188_2,O0000188,M035,2,716.56
O0000188_3,O0000188,M067,3,679.40
O0000189_1,O0000189,M083,3,734.55
O0000189_2,O0000189,M002,2,169.76
O0000190_1,O0000190,M043,2,269.60
O0000190_2,O0000190,M011,2,737.73
O0000190_3,O0000190,M080,1,225.03
O0000190_4,O0000190,M083,3,634.90
O0000191_1,O0000191,M043,1,288.04
O0000192_1,O0000192,M084,1,660.10
O0000192_2,O0000192,M082,3,363.15
O0000192_3,O0000192,M021,2,378.41
O0000192_4,O0000192,M046,1,480.30
O0000192_5,O0000192,M058,2,319.85
O0000193_1,O0000193,M053,3,708.49
O0000193_2,O0000193,M057,1,295.79
O0000194_1,O0000194,M025,3,313.12
O0000194_2,O0000194,M039,3,416.71
O0000194_3,O0000194,M049,1,646.75
O0000194_4,O0000194,M031,1,391.94
O0000194_5,O0000194,M067,1,623.01
O0000195_1,O0000195,M026,2,677.36
O0000196_1,O0000196,M018,2,672.07
O0000196_2,O0000196,M040,1,562.30
O0000196_3,O0000196,M023,3,217.57
O0000196_4,O0000196,M083,3,644.11
O0000197_1,O0000197,M012,1,774.51
O0000197_2,O0000197,M016,3,186.76
O0000198_1,O0000198,M067,2,611.71
O0000198_2,O0000198,M061,3,726.71
O0000198_3,O0000198,M008,1,567.97
O0000198_4,O0000198,M007,2,403.63
O0000198_5,O0000198,M027,2,425.65
O0000199_1,O0000199,M098,3,681.67
O0000199_2,O0000199,M062,2,778.60
O0000199_3,O0000199,M082,3,353.28
O0000199_4,O0000199,M049,3,679.79
O0000199_5,O0000199,M031,2,353.79
O0000200_1,O0000200,M064,1,499.28
O0000200_2,O0000200,M051,3,457.24
O0000200_3,O0000200,M057,3,262.15
O0000200_4,O0000200,M078,3,757.33
O0000201_1,O0000201,M040,1,657.86
O0000202_1,O0000202,M017,2,207.12
O0000202_2,O0000202,M041,1,414.24
O0000203_1,O0000203,M096,1,657.42
O0000204_1,O0000204,M074,2,310.25
O0000205_1,O0000205,M094,3,388.04
O0000205_2,O0000205,M017,3,216.63
O0000205_3,O0000205,M017,1,238.60
O0000205_4,O0000205,M059,1,597.34
O0000205_5,O0000205,M047,1,466.41
O0000206_1,O0000206,M042,2,505.46
O0000206_2,O0000206,M070,2,516.23
O0000206_3,O0000206,M032,1,662.80
O0000206_4,O0000206,M028,2,402.34
O0000206_5,O0000206,M090,2,531.74
O0000207_1,O0000207,M048,1,544.73
O0000207_2,O0000207,M051,1,419.65
O0000207_3,O0000207,M040,2,572.09
O0000207_4,O0000207,M087,1,199.14
O0000208_1,O0000208,M005,1,575.23
O0000208_2,O0000208,M005,2,614.81
O0000208_3,O0000208,M012,1,820.16
O0000208_4,O0000208,M088,1,512.85
O0000208_5,O0000208,M059,2,523.33
O0000209_1,O0000209,M060,2,640.14
O0000209_2,O0000209,M013,3,311.37
O0000209_3,O0000209,M021,3,373.22
O0000209_4,O0000209,M014,3,341.94
O0000209_5,O0000209,M025,2,311.98
O0000210_1,O0000210,M045,3,654.51
O0000210_2,O0000210,M033,3,254.09
O0000211_1,O0000211,M036,2,402.13
O0000211_2,O0000211,M036,1,454.40
O0000211_3,O0000211,M098,2,747.91
O0000212_1,O0000212,M044,3,643.32
O0000213_1,O0000213,M074,2,284.34
